atp;Nc1ncnc2c1ncn2C1OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C1O;MNXM3
b2coa;CC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM214
bglycogen;;
btcoa;CCCC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM233
ca2;;
camp;Nc1ncnc2c1ncn2C1OC2COP(=O)(O)OC2C1O;MNXM243
cbasp;NC(=O)NC(CC(=O)O)C(=O)O;MNXM465
cbp;NC(=O)OP(=O)(O)O;MNXM138
cdp;Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1;MNXM220
cdpdddecg;;
cdpdhdec9eg;CCCCCCC=CCCCCCCCC(=O)OCC(COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(=O)CCCCCCCC=CCCCCCC;MNXM4508
cdpdhdecg;;
cdpdodec11eg;;
cdpdodecg;;
cdpdtdec7eg;;
cdpdtdecg;CCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OP(=O)(O)OCC1OC(n2ccc(N)nc2=O)C(O)C1O)OC(=O)CCCCCCCCCCCCC;MNXM4512
cgly;;
chor;C=C(OC1C=C(C(=O)O)C=CC1O)C(=O)O;MNXM337
cit;O=C(O)CC(O)(CC(=O)O)C(=O)O;MNXM131
citr-L;NC(=O)NCCCC(N)C(=O)O;MNXM211
ckdo;Nc1ccn(C2OC(COP(=O)(O)OC3(C(=O)O)CC(O)C(O)C(C(O)CO)O3)C(O)C2O)c(=O)n1;MNXM535
cl;[Cl-];MNXM43
clpn120;;
clpn140;;
clpn141;;
clpn160;;
clpn161;;
clpn180;;
clpn181;;
cmp;Nc1ccn(C2OC(COP(=O)(O)O)C(O)C2O)c(=O)n1;MNXM31
co2;O=C=O;MNXM13
coa;CC(C)(COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS;MNXM12
cobalt2;;
colipa;;
cpe160;CCCCCCC1CC1CCCCCCCC(=O)N(CCOP(=O)(O)OCC(O)CO)C(=O)CCCCCCCC1CC1CCCCCC;MNXM48208
cpe180;;
cpg160;CCCCCCC1CC1CCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCCC1CC1CCCCCC;MNXM48210
cpg180;CCCCCCC1CC1CCCCCCCCCC(=O)OCC(COP(=O)(O)OCC(O)CO)OC(=O)CCCCCCCCCC1CC1CCCCCC;MNXM48211
cpppg3;Cc1c2[nH]c(c1CCC(=O)O)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(CCC(=O)O)c1C)Cc1[nH]c(c(C)c1CCC(=O)O)C2;MNXM410
csn;Nc1cc[nH]c(=O)n1;MNXM761
ctp;Nc1ccn(C2OC(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)C(O)C2O)c(=O)n1;MNXM63
cu2;;
cys-L;NC(CS)C(=O)O;MNXM55
cyst-L;NC(CCSCC(N)C(=O)O)C(=O)O;MNXM319
cytd;Nc1ccn(C2OC(CO)C(O)C2O)c(=O)n1;MNXM338
dad-2;Nc1ncnc2c1ncn2C1CC(O)C(CO)O1;MNXM625
dad-5;CC1OC(n2cnc3c(N)ncnc32)C(O)C1O;MNXM316
dadp;Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)O)O1;MNXM374
damp;Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)O)O1;MNXM432
datp;Nc1ncnc2c1ncn2C1CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O1;MNXM286
db4p;CC(=O)C(O)COP(=O)(O)O;MNXM2323
dc2coa;CCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM580
dca;;
dcacoa;;
dcamp;O=C(O)CC(Nc1ncnc2c1ncn2C1OC(COP(=O)(O)O)C(O)C1O)C(=O)O;MNXM565
dcdp;Nc1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)O)O2)c(=O)n1;MNXM411
dcmp;Nc1ccn(C2CC(O)C(COP(=O)(O)O)O2)c(=O)n1;MNXM266
dctp;Nc1ccn(C2CC(O)C(COP(=O)(O)OP(=O)(O)OP(=O)(O)O)O2)c(=O)n1;MNXM360
dcyt;Nc1ccn(C2CC(O)C(CO)O2)c(=O)n1;MNXM704
dd2coa;CCCCCCCCCC=CC(=O)SCCNC(=O)CCNC(=O)C(O)C(C)(C)COP(=O)(O)OP(=O)(O)OCC1OC(n2cnc3c(N)ncnc32)C(O)C1OP(=O)(O)O;MNXM642
ddca;;
